time,ibus,machid,pg,qg,qt,qb,vs,ireg,nreg,mbase,zr,zx,rt,xt,gtap,stat,rmpct,pt,pb,o1,f1,wmod,wpf
0,1,1,,,,,1,0,0,,,,,,,,,,,,,2,0.5
300,1,1,0.0198698935614292,0,0.05,-0.05,1,0,0,,,,,,,,,0.0198698935614292,0,,,2,0.5
600,1,1,0.0160540053841577,0,0.05,-0.05,1,0,0,,,,,,,,,0.0160540053841577,0,,,2,0.5
900,1,1,0.0209904509917789,0,0.05,-0.05,1,0,0,,,,,,,,,0.0209904509917789,0,,,2,0.5
1200,1,1,0.0160941586552399,0,0.05,-0.05,1,0,0,,,,,,,,,0.0160941586552399,0,,,2,0.5
1500,1,1,0.0206802480888904,0,0.05,-0.05,1,0,0,,,,,,,,,0.0206802480888904,0,,,2,0.5
1800,1,1,0.0215998844146652,0,0.05,-0.05,1,0,0,,,,,,,,,0.0215998844146652,0,,,2,0.5
2100,1,1,0.0243658252124206,0,0.05,-0.05,1,0,0,,,,,,,,,0.0243658252124206,0,,,2,0.5
2400,1,1,0.0238364178398632,0,0.05,-0.05,1,0,0,,,,,,,,,0.0238364178398632,0,,,2,0.5
2700,1,1,0.021941734101661,0,0.05,-0.05,1,0,0,,,,,,,,,0.021941734101661,0,,,2,0.5
3000,1,1,0.0206529236573926,0,0.05,-0.05,1,0,0,,,,,,,,,0.0206529236573926,0,,,2,0.5
3300,1,1,0.0163822575161442,0,0.05,-0.05,1,0,0,,,,,,,,,0.0163822575161442,0,,,2,0.5
3600,1,1,0.0180194406601077,0,0.05,-0.05,1,0,0,,,,,,,,,0.0180194406601077,0,,,2,0.5
3900,1,1,0.0203531822081668,0,0.05,-0.05,1,0,0,,,,,,,,,0.0203531822081668,0,,,2,0.5
4200,1,1,0.0201019323140678,0,0.05,-0.05,1,0,0,,,,,,,,,0.0201019323140678,0,,,2,0.5
4500,1,1,0.0234453068373952,0,0.05,-0.05,1,0,0,,,,,,,,,0.0234453068373952,0,,,2,0.5
4800,1,1,0.0210751656094055,0,0.05,-0.05,1,0,0,,,,,,,,,0.0210751656094055,0,,,2,0.5
5100,1,1,0.0243169198502657,0,0.05,-0.05,1,0,0,,,,,,,,,0.0243169198502657,0,,,2,0.5
5400,1,1,0.0207996344375846,0,0.05,-0.05,1,0,0,,,,,,,,,0.0207996344375846,0,,,2,0.5
5700,1,1,0.0185471075790893,0,0.05,-0.05,1,0,0,,,,,,,,,0.0185471075790893,0,,,2,0.5
6000,1,1,0.0164705760135488,0,0.05,-0.05,1,0,0,,,,,,,,,0.0164705760135488,0,,,2,0.5
6300,1,1,0.0210954995591693,0,0.05,-0.05,1,0,0,,,,,,,,,0.0210954995591693,0,,,2,0.5
6600,1,1,0.0199712533138671,0,0.05,-0.05,1,0,0,,,,,,,,,0.0199712533138671,0,,,2,0.5
6900,1,1,0.0189473748168457,0,0.05,-0.05,1,0,0,,,,,,,,,0.0189473748168457,0,,,2,0.5
7200,1,1,0.0226446908353083,0,0.05,-0.05,1,0,0,,,,,,,,,0.0226446908353083,0,,,2,0.5
7500,1,1,0.0201229669918919,0,0.05,-0.05,1,0,0,,,,,,,,,0.0201229669918919,0,,,2,0.5
7800,1,1,0.0163868586662932,0,0.05,-0.05,1,0,0,,,,,,,,,0.0163868586662932,0,,,2,0.5
8100,1,1,0.0219324825147143,0,0.05,-0.05,1,0,0,,,,,,,,,0.0219324825147143,0,,,2,0.5
8400,1,1,0.0192685773279391,0,0.05,-0.05,1,0,0,,,,,,,,,0.0192685773279391,0,,,2,0.5
8700,1,1,0.0264492218213003,0,0.05,-0.05,1,0,0,,,,,,,,,0.0264492218213003,0,,,2,0.5
9000,1,1,0.0208944325581133,0,0.05,-0.05,1,0,0,,,,,,,,,0.0208944325581133,0,,,2,0.5
